edges,graph_name,method_name,nodes,time
506,_,nx,100,0.1648828
506,_,brandes,100,0.04865230000000001
483,_,nx,100,0.15704020000000002
483,_,brandes,100,0.06296849999999998
530,_,nx,100,0.17089160000000003
530,_,brandes,100,0.04648770000000002
494,_,nx,100,0.1679037
494,_,brandes,100,0.05095849999999991
498,_,nx,100,0.16436589999999995
498,_,brandes,100,0.03031890000000015
480,_,nx,100,0.1573644999999999
480,_,brandes,100,0.028871800000000114
524,_,nx,100,0.16644330000000007
524,_,brandes,100,0.051149200000000006
520,_,nx,100,0.16848620000000003
520,_,brandes,100,0.04201100000000002
487,_,nx,100,0.15692759999999994
487,_,brandes,100,0.04688249999999994
489,_,nx,100,0.16084330000000002
489,_,brandes,100,0.02445750000000002
521,_,nx,100,0.16960119999999979
521,_,brandes,100,0.0703898999999999
500,_,nx,100,0.16115840000000015
500,_,brandes,100,0.049520499999999856
498,_,nx,100,0.16090950000000026
498,_,brandes,100,0.06548799999999977
496,_,nx,100,0.16066409999999998
496,_,brandes,100,0.0509466999999999
499,_,nx,100,0.16214629999999985
499,_,brandes,100,0.058322899999999844
517,_,nx,100,0.16453569999999962
517,_,brandes,100,0.046729999999999716
466,_,nx,100,0.15113390000000004
466,_,brandes,100,0.062369800000000364
494,_,nx,100,0.16347749999999994
494,_,brandes,100,0.06269759999999991
487,_,nx,100,0.1703038999999995
487,_,brandes,100,0.024711100000000208
512,_,nx,100,0.13389510000000016
512,_,brandes,100,0.025128100000000764
488,_,nx,100,0.16325150000000033
488,_,brandes,100,0.024108599999999925
501,_,nx,100,0.16446819999999995
501,_,brandes,100,0.02503220000000006
517,_,nx,100,0.1660346000000006
517,_,brandes,100,0.025954500000000102
509,_,nx,100,0.12638149999999992
509,_,brandes,100,0.028119599999999245
487,_,nx,100,0.1583407999999995
487,_,brandes,100,0.02443720000000038
498,_,nx,100,0.16035299999999975
498,_,brandes,100,0.024252800000000185
511,_,nx,100,0.16060940000000024
511,_,brandes,100,0.025025100000000577
512,_,nx,100,0.16535679999999964
512,_,brandes,100,0.025784200000000368
465,_,nx,100,0.11569049999999947
465,_,brandes,100,0.024615199999999504
497,_,nx,100,0.15976189999999946
497,_,brandes,100,0.026693999999999996
467,_,nx,100,0.1538883000000002
467,_,brandes,100,0.023670099999999472
483,_,nx,100,0.1563099999999995
483,_,brandes,100,0.024136399999999725
506,_,nx,100,0.16338979999999914
506,_,brandes,100,0.02848010000000034
529,_,nx,100,0.17043859999999977
529,_,brandes,100,0.02609230000000018
510,_,nx,100,0.16708560000000006
510,_,brandes,100,0.02880100000000052
508,_,nx,100,0.16570790000000013
508,_,brandes,100,0.02579309999999957
514,_,nx,100,0.1636369000000002
514,_,brandes,100,0.025144199999999728
483,_,nx,100,0.16007709999999964
483,_,brandes,100,0.023968900000000737
508,_,nx,100,0.1480687000000005
508,_,brandes,100,0.02514929999999982
473,_,nx,100,0.15415700000000054
473,_,brandes,100,0.023677600000000965
443,_,nx,100,0.14437509999999953
443,_,brandes,100,0.02321590000000029
495,_,nx,100,0.1740630999999997
495,_,brandes,100,0.024596600000000635
521,_,nx,100,0.13671869999999942
521,_,brandes,100,0.025540499999999966
469,_,nx,100,0.15066629999999925
469,_,brandes,100,0.027705700000000277
497,_,nx,100,0.13184720000000105
497,_,brandes,100,0.024876900000000646
474,_,nx,100,0.16303419999999846
474,_,brandes,100,0.024426899999999918
496,_,nx,100,0.16100139999999996
496,_,brandes,100,0.025823799999999508
488,_,nx,100,0.12917280000000098
488,_,brandes,100,0.02810440000000014
485,_,nx,100,0.12801389999999913
485,_,brandes,100,0.02839239999999954
501,_,nx,100,0.16090189999999893
501,_,brandes,100,0.02490799999999993
509,_,nx,100,0.16382439999999932
509,_,brandes,100,0.025735099999998567
520,_,nx,100,0.17192790000000002
520,_,brandes,100,0.02596040000000066
472,_,nx,100,0.15606299999999962
472,_,brandes,100,0.02354779999999934
483,_,nx,100,0.17135310000000104
483,_,brandes,100,0.024065400000001347
493,_,nx,100,0.1629820999999989
493,_,brandes,100,0.024305599999999927
485,_,nx,100,0.16046539999999965
485,_,brandes,100,0.024824000000000623
448,_,nx,100,0.1439862999999999
448,_,brandes,100,0.0224688000000004
494,_,nx,100,0.12489270000000019
494,_,brandes,100,0.02560629999999975
491,_,nx,100,0.1335430000000013
491,_,brandes,100,0.024114700000000155
483,_,nx,100,0.12188009999999849
483,_,brandes,100,0.02958070000000035
495,_,nx,100,0.13114500000000007
495,_,brandes,100,0.024979799999998775
498,_,nx,100,0.1590904000000002
498,_,brandes,100,0.024739500000000803
498,_,nx,100,0.16013959999999905
498,_,brandes,100,0.02699149999999939
482,_,nx,100,0.14576819999999913
482,_,brandes,100,0.025266700000001308
484,_,nx,100,0.1569395999999994
484,_,brandes,100,0.024103699999999506
481,_,nx,100,0.160954499999999
481,_,brandes,100,0.028365799999999552
498,_,nx,100,0.16054540000000017
498,_,brandes,100,0.02528549999999896
501,_,nx,100,0.16384839999999912
501,_,brandes,100,0.02525259999999996
538,_,nx,100,0.17131769999999946
538,_,brandes,100,0.03224349999999987
486,_,nx,100,0.19570320000000052
486,_,brandes,100,0.02464980000000061
505,_,nx,100,0.16310730000000007
505,_,brandes,100,0.030583800000000494
482,_,nx,100,0.15562249999999977
482,_,brandes,100,0.024130500000000055
479,_,nx,100,0.15392479999999864
479,_,brandes,100,0.02392260000000057
518,_,nx,100,0.16655629999999988
518,_,brandes,100,0.030350600000000227
493,_,nx,100,0.1683576999999996
493,_,brandes,100,0.024485400000001434
502,_,nx,100,0.1635629999999999
502,_,brandes,100,0.02503040000000034
495,_,nx,100,0.1631651999999999
495,_,brandes,100,0.02779309999999846
488,_,nx,100,0.127721600000001
488,_,brandes,100,0.02407260000000022
505,_,nx,100,0.16433120000000123
505,_,brandes,100,0.029649700000000223
493,_,nx,100,0.1601303999999999
493,_,brandes,100,0.024262900000000087
510,_,nx,100,0.1627667000000006
510,_,brandes,100,0.02543239999999969
477,_,nx,100,0.15679299999999863
477,_,brandes,100,0.0247010999999997
504,_,nx,100,0.16151529999999958
504,_,brandes,100,0.025343499999999963
486,_,nx,100,0.158869300000001
486,_,brandes,100,0.024408000000001095
483,_,nx,100,0.1551739000000012
483,_,brandes,100,0.024171100000000223
496,_,nx,100,0.12526170000000292
496,_,brandes,100,0.024432100000002066
488,_,nx,100,0.12187439999999938
488,_,brandes,100,0.0261207999999975
481,_,nx,100,0.15858069999999813
481,_,brandes,100,0.02429350000000241
511,_,nx,100,0.1639166000000003
511,_,brandes,100,0.02632380000000012
495,_,nx,100,0.15824409999999745
495,_,brandes,100,0.024772000000002237
500,_,nx,100,0.16173419999999794
500,_,brandes,100,0.02638860000000065
