edges,graph_name,graph_type,method_name,nodes,time
2557,_,erdos_renyi,nxapprox,500,51.0798106000002
2557,_,erdos_renyi,approx,500,0.47200559999691905
2544,_,erdos_renyi,nxapprox,500,50.4352985000005
2544,_,erdos_renyi,approx,500,0.5006094999989728
2519,_,erdos_renyi,nxapprox,500,50.25591890000214
2519,_,erdos_renyi,approx,500,0.47112810000180616
2474,_,erdos_renyi,nxapprox,500,49.112882000001264
2474,_,erdos_renyi,approx,500,0.4773367000016151
2426,_,erdos_renyi,nxapprox,500,48.43517739999879
2426,_,erdos_renyi,approx,500,0.4651415999978781
5050,_,erdos_renyi,nxapprox,1000,113.34599779999917
5050,_,erdos_renyi,approx,1000,0.9628334000008181
4989,_,erdos_renyi,nxapprox,1000,111.00259600000209
4989,_,erdos_renyi,approx,1000,0.9409030999995593
4972,_,erdos_renyi,nxapprox,1000,109.7121690999993
4972,_,erdos_renyi,approx,1000,0.9404233000022941
4990,_,erdos_renyi,nxapprox,1000,109.55206050000197
4990,_,erdos_renyi,approx,1000,0.9525005999967107
5108,_,erdos_renyi,nxapprox,1000,114.82960349999848
5108,_,erdos_renyi,approx,1000,0.9869889999972656
7667,_,erdos_renyi,nxapprox,1500,179.9800652999984
7667,_,erdos_renyi,approx,1500,1.561198899998999
7453,_,erdos_renyi,nxapprox,1500,177.83999880000192
7453,_,erdos_renyi,approx,1500,1.494155199998204
7572,_,erdos_renyi,nxapprox,1500,178.5944419999978
7572,_,erdos_renyi,approx,1500,1.5737441999990551
7540,_,erdos_renyi,nxapprox,1500,177.78399979999813
7540,_,erdos_renyi,approx,1500,1.5279941000007966
7509,_,erdos_renyi,nxapprox,1500,178.57685990000027
7509,_,erdos_renyi,approx,1500,1.489420900001278
10013,_,erdos_renyi,nxapprox,2000,242.88507740000205
10013,_,erdos_renyi,approx,2000,2.1050251000015123
10131,_,erdos_renyi,nxapprox,2000,244.05372910000006
10131,_,erdos_renyi,approx,2000,2.09509270000126
9930,_,erdos_renyi,nxapprox,2000,242.9798770999987
9930,_,erdos_renyi,approx,2000,2.1034894000003987
10004,_,erdos_renyi,nxapprox,2000,240.89448400000038
10004,_,erdos_renyi,approx,2000,2.1342062000003352
9988,_,erdos_renyi,nxapprox,2000,247.42363729999852
9988,_,erdos_renyi,approx,2000,2.127384200000961
12475,_,erdos_renyi,nxapprox,2500,298.5473957999966
12475,_,erdos_renyi,approx,2500,2.7354378000018187
12475,_,erdos_renyi,nxapprox,2500,294.9991031999998
12475,_,erdos_renyi,approx,2500,2.7255387000004703
12600,_,erdos_renyi,nxapprox,2500,299.67416989999765
12600,_,erdos_renyi,approx,2500,2.7035669999968377
12465,_,erdos_renyi,nxapprox,2500,297.98652050000237
12465,_,erdos_renyi,approx,2500,2.7519839000015054
12531,_,erdos_renyi,nxapprox,2500,295.5535274000031
12531,_,erdos_renyi,approx,2500,2.692788499996823
14965,_,erdos_renyi,nxapprox,3000,timeout
14965,_,erdos_renyi,approx,3000,3.4322717000031844
14745,_,erdos_renyi,approx,3000,3.4567385999980615
